dataset,k,g,core size,gp-list size,avg cnt,gp-tree size,connected components,gp-list size (peeled),gp-tree size (peeled),connected components (peeled),# of nodes in map,occurence map size,tree/map
enron,5,5,506,525,2.374731054267272,8614,141,506,8367,143,4423,11306,0.7618963382274898
enron,5,10,208,223,3.0232278734481377,5325,112,208,4995,108,4423,3986,1.3359257400903162
enron,5,15,87,114,3.9973241590214066,3132,78,87,2617,60,4423,1904,1.6449579831932772
enron,5,20,65,70,4.694331983805668,2077,47,65,1977,43,4423,1136,1.8283450704225352
enron,10,5,346,389,2.6106858542559706,7114,133,346,6533,132,4423,11306,0.6292234211922872
enron,10,10,103,132,3.9082181259600612,3303,75,103,2605,64,4423,3986,0.8286502759658806
enron,10,15,37,60,5.348345588235294,1755,44,37,1089,24,4423,1904,0.9217436974789915
enron,10,20,31,40,5.729315628192032,1285,27,31,980,20,4423,1136,1.131161971830986
enron,15,5,210,264,3.0208197787898503,5794,114,210,4612,101,4423,11306,0.512471254201309
enron,15,10,63,89,4.471473029045643,2482,58,63,1929,40,4423,3986,0.6226793778223784
enron,15,15,20,41,5.205818965517241,1307,30,20,929,15,4423,1904,0.6864495798319328
enron,15,20,0,22,0,949,19,0,1,0,4423,1136,0.835387323943662
enron,20,5,72,178,4.19000471475719,4580,95,72,2122,43,4423,11306,0.4050946400141518
enron,20,10,0,62,0,1866,45,0,1,0,4423,3986,0.46813848469643754
enron,20,15,0,20,0,747,18,0,1,0,4423,1904,0.39233193277310924
enron,20,20,0,13,0,395,12,0,1,0,4423,1136,0.3477112676056338
